time,s,e,i,r,mandate,complying,away_percent
0,7100,0,600,0,0,7700,0
0.25,7100,0,600,0,0,7700,1.025974026
0.5,7100,0,599,1,0,7699,2.402597403
0.75,7100,0,598,2,0,7694,3.402597403
1,7100,0,598,2,0,7690,4.584415584
1.25,7100,0,598,2,0,7689,5.61038961
1.5,7100,0,598,2,0,7681,8.662337662
1.75,7100,0,597,3,0,7672,13.41558442
2,7100,0,595,5,0,7657,17.45454545
2.25,7100,0,594,6,0,7640,21.77922078
2.5,7100,0,593,7,0,7622,26.16883117
2.75,7100,0,593,7,0,7597,30.32467532
3,7100,0,593,7,0,7572,33.72727273
3.25,7100,0,592,8,0,7522,36.85714286
3.5,7100,0,592,8,0,7500,39.96103896
3.75,7100,0,591,9,0,7471,42.44155844
4,7100,0,590,10,0,7436,45.16883117
4.25,7100,0,590,10,0,7393,47.87012987
4.5,7100,0,589,11,0,7360,50.12987013
4.75,7100,0,589,11,0,7310,52.31168831
5,7100,0,588,12,0,7272,53.94805195
5.25,7100,0,588,12,0,7235,55.7012987
5.5,7100,0,587,13,0,7182,57.22077922
5.75,7100,0,587,13,0,7146,58.87012987
6,7100,0,587,13,0,7109,60.62337662
6.25,7099,1,586,14,0,7066,62.24675325
6.5,7099,1,586,14,0,7017,63.31168831
6.75,7099,1,583,17,0,6970,64.67532468
7,7099,1,582,18,0,6923,65.68831169
7.25,7099,1,582,18,0,6895,66.71428571
7.5,7098,2,581,19,0,6848,68.03896104
7.75,7098,2,580,20,0,6809,69.03896104
8,7098,2,580,20,0,6773,69.64935065
8.25,7098,2,580,20,0,6730,70.4025974
8.5,7097,3,580,20,0,6671,71.14285714
8.75,7097,3,580,20,0,6652,70.49350649
9,7097,3,580,20,0,6660,66.80519481
9.25,7097,3,578,22,0,6689,63.28571429
9.5,7097,3,578,22,0,6711,60.20779221
9.75,7097,3,577,23,0,6719,57.05194805
10,7097,3,577,23,0,6737,53.96103896
10.25,7097,3,575,25,0,6739,51.61038961
10.5,7097,3,575,25,0,6761,49.74025974
10.75,7097,3,574,26,0,6787,47.53246753
11,7097,3,573,27,0,6810,45.41558442
11.25,7096,4,573,27,0,6816,43.80519481
11.5,7096,4,573,27,0,6821,42.28571429
11.75,7096,4,572,28,0,6821,40.67532468
12,7096,4,570,30,0,6834,39.63636364
12.25,7095,5,570,30,0,6848,38.32467532
12.5,7095,5,569,31,0,6865,37
12.75,7095,5,569,31,0,6870,35.62337662
13,7095,5,568,32,0,6896,34.20779221
13.25,7095,5,568,32,0,6904,33.25974026
13.5,7095,5,567,33,0,6905,32.24675325
13.75,7094,6,566,34,0,6918,31.18181818
14,7094,5,567,34,0,6930,30.18181818
14.25,7094,5,567,34,0,6951,29.49350649
14.5,7094,5,567,34,0,6958,28.72727273
14.75,7094,5,566,35,0,6961,28.01298701
15,7094,5,565,36,0,6962,27.46753247
15.25,7093,6,565,36,0,6972,27.1038961
15.5,7093,6,564,37,0,6971,26.66233766
15.75,7093,6,563,38,0,6974,26.03896104
16,7093,6,563,38,0,6958,25.85714286
16.25,7093,6,562,39,0,6973,25.14285714
16.5,7093,6,562,39,0,6964,24.79220779
16.75,7093,6,562,39,0,6945,24.87012987
17,7093,5,561,41,0,6949,24.45454545
17.25,7093,5,561,41,0,6935,24.42857143
17.5,7092,6,561,41,0,6958,24.06493506
17.75,7092,6,561,41,0,6954,23.84415584
18,7091,7,561,41,0,6957,23.38961039
18.25,7091,7,561,41,0,6969,23.32467532
18.5,7091,7,559,43,0,6961,23.02597403
18.75,7090,8,558,44,0,6964,22.84415584
19,7090,8,558,44,0,6982,22.45454545
19.25,7090,8,558,44,0,6984,22.2987013
19.5,7090,8,558,44,0,6980,21.93506494
19.75,7090,8,557,45,0,6969,21.53246753
20,7090,8,555,47,0,6978,21.28571429
20.25,7089,8,556,47,0,6979,21.18181818
20.5,7089,8,555,48,0,6971,20.93506494
20.75,7089,8,555,48,0,6970,20.75324675
21,7088,9,552,51,0,6971,20.5974026
21.25,7088,9,552,51,0,6966,20.44155844
21.5,7088,9,551,52,0,6973,20.18181818
21.75,7088,9,551,52,0,6980,20.05194805
22,7088,9,550,53,0,6987,20.05194805
22.25,7088,9,549,54,0,6996,20.03896104
22.5,7088,9,548,55,0,7001,19.88311688
22.75,7088,9,548,55,0,7003,19.79220779
23,7088,9,546,57,0,6992,20
23.25,7088,9,545,58,0,6983,19.8961039
23.5,7088,8,546,58,0,6964,20.06493506
23.75,7088,8,546,58,0,6946,20.09090909
24,7088,8,544,60,0,6953,20
