time,s,e,i,r,mandate,complying,away_percent
0,5345,1055,600,0,0,7000,0
0.25,5345,1053,602,0,0,7000,4
0.5,5345,1044,611,0,0,6993,9.657142857
0.75,5345,1040,614,1,0,6984,14.25714286
1,5345,1037,616,2,0,6970,18.61428571
1.25,5345,1033,620,2,0,6956,22.82857143
1.5,5345,1027,624,4,0,6935,27.08571429
1.75,5345,1025,624,6,0,6906,30.92857143
2,5345,1018,631,6,0,6882,34.72857143
2.25,5345,1008,641,6,0,6854,37.78571429
2.5,5345,1005,643,7,0,6827,40.7
2.75,5345,1001,645,9,0,6805,43.31428571
3,5344,996,650,10,0,6766,45.71428571
3.25,5343,993,654,10,0,6745,48.54285714
3.5,5343,988,659,10,0,6709,50.44285714
3.75,5343,983,663,11,0,6671,52.32857143
4,5343,979,667,11,0,6635,54.32857143
4.25,5343,972,673,12,0,6584,55.84285714
4.5,5342,968,676,14,0,6548,57.48571429
4.75,5342,960,683,15,0,6517,59.27142857
5,5342,952,690,16,0,6480,60.81428571
5.25,5342,943,699,16,0,6447,62.4
5.5,5341,938,704,17,0,6411,63.5
5.75,5340,928,714,18,0,6359,65.02857143
6,5340,922,719,19,0,6314,66
6.25,5340,917,722,21,0,6271,67.3
6.5,5340,912,723,25,0,6251,68.14285714
6.75,5338,907,728,27,0,6204,69.35714286
7,5338,902,733,27,0,6163,70.08571429
7.25,5338,900,734,28,0,6121,70.71428571
7.5,5338,895,736,31,0,6082,71.62857143
7.75,5338,888,741,33,0,6049,72.22857143
8,5338,885,743,34,0,6016,72.48571429
8.25,5336,885,745,34,0,5992,72.95714286
8.5,5335,876,755,34,0,5937,73.48571429
8.75,5335,872,758,35,0,5904,73.91428571
9,5335,865,764,36,0,5849,74.34285714
9.25,5335,859,770,36,0,5803,74.6
9.5,5333,858,772,37,0,5755,75.08571429
9.75,5332,854,776,38,0,5715,75.67142857
10,5331,851,780,38,0,5668,76.12857143
10.25,5331,843,788,38,0,5647,76.21428571
10.5,5330,841,788,41,0,5623,76.32857143
10.75,5330,836,793,41,0,5583,76.64285714
11,5328,835,794,43,0,5551,76.91428571
11.25,5327,829,801,43,0,5520,77.17142857
11.5,5327,827,803,43,0,5474,77.38571429
11.75,5325,828,804,43,0,5456,77.54285714
12,5324,823,809,44,0,5423,77.88571429
12.25,5324,819,812,45,0,5384,77.91428571
12.5,5323,814,816,47,0,5366,77.95714286
12.75,5322,810,820,48,0,5330,77.88571429
13,5321,807,821,51,0,5293,78.01428571
13.25,5321,804,824,51,0,5265,78.41428571
13.5,5321,796,830,53,0,5250,78.52857143
13.75,5320,792,834,54,0,5211,78.54285714
14,5320,789,836,55,0,5197,78.94285714
14.25,5318,787,838,57,0,5151,79.17142857
14.5,5318,785,840,57,0,5119,79.25714286
14.75,5317,780,846,57,0,5075,79.57142857
15,5317,774,852,57,0,5021,79.94285714
15.25,5316,772,853,59,0,5006,80
15.5,5316,768,856,60,0,4998,80.22857143
15.75,5316,767,856,61,0,4950,80.62857143
16,5316,765,856,63,0,4927,80.48571429
16.25,5314,762,860,64,0,4889,80.7
16.5,5314,756,863,67,0,4870,80.61428571
16.75,5312,753,866,69,0,4856,80.54285714
17,5312,749,869,70,0,4832,80.35714286
17.25,5311,747,870,72,0,4789,80.77142857
17.5,5311,744,873,72,0,4765,80.64285714
17.75,5310,739,879,72,0,4740,80.62857143
18,5310,733,885,72,0,4733,80.55714286
18.25,5309,730,889,72,0,4711,80.37142857
18.5,5309,726,891,74,0,4672,80.68571429
18.75,5309,717,899,75,0,4654,80.57142857
19,5307,713,905,75,0,4643,80.64285714
19.25,5306,710,907,77,0,4625,80.74285714
19.5,5305,707,910,78,0,4603,80.87142857
19.75,5303,707,912,78,0,4593,80.74285714
20,5302,705,913,80,0,4564,80.95714286
20.25,5302,700,913,85,0,4554,81.21428571
20.5,5301,698,915,86,0,4527,81.25714286
20.75,5297,701,912,90,0,4509,81.37142857
21,5296,699,914,91,0,4486,81.38571429
21.25,5293,698,916,93,0,4476,81.37142857
21.5,5291,697,918,94,0,4458,81.08571429
21.75,5289,693,924,94,0,4455,80.62857143
22,5288,690,927,95,0,4424,80.75714286
22.25,5287,687,931,95,0,4393,80.95714286
22.5,5284,686,933,97,0,4385,80.81428571
22.75,5283,682,937,98,0,4365,80.77142857
23,5282,679,940,99,0,4354,80.92857143
23.25,5282,677,940,101,0,4331,81.04285714
23.5,5280,678,936,106,0,4329,80.94285714
23.75,5278,675,940,107,0,4326,80.75714286
24,5277,674,940,109,0,4295,80.78571429
24.25,5277,673,941,109,0,4267,80.68571429
24.5,5277,671,941,111,0,4235,80.8
24.75,5277,669,941,113,0,4206,81.18571429
25,5276,666,944,114,0,4206,81.01428571
25.25,5276,661,949,114,0,4159,81.2
25.5,5274,662,949,115,0,4143,81.21428571
25.75,5272,660,952,116,0,4136,80.91428571
26,5272,653,959,116,0,4122,80.94285714
26.25,5271,651,961,117,0,4105,80.85714286
26.5,5271,648,964,117,0,4224,77.68571429
26.75,5270,644,969,117,0,4334,73.97142857
27,5268,642,971,119,0,4483,70
27.25,5265,642,974,119,0,4594,66.37142857
27.5,5263,640,976,121,0,4716,62.92857143
27.75,5262,640,976,122,0,4838,59.75714286
28,5260,640,977,123,0,4919,57.27142857
28.25,5259,639,977,125,0,5002,54.64285714
28.5,5256,638,980,126,0,5074,52.4
28.75,5256,634,984,126,0,5179,49.98571429
29,5256,626,991,127,0,5251,47.88571429
29.25,5256,625,988,131,0,5316,46.12857143
29.5,5255,622,991,132,0,5368,44.15714286
29.75,5254,622,991,133,0,5433,42.38571429
30,5254,618,995,133,0,5485,40.75714286
30.25,5254,616,997,133,0,5550,39.4
30.5,5252,618,996,134,0,5580,38.35714286
30.75,5252,617,996,135,0,5622,36.9
31,5251,614,999,136,0,5651,36.1
31.25,5251,613,997,139,0,5684,35.1
31.5,5251,612,996,141,0,5718,34.1
31.75,5249,612,997,142,0,5734,33.2
32,5249,607,1002,142,0,5767,32.18571429
32.25,5248,604,1005,143,0,5789,31.2
32.5,5248,603,1006,143,0,5847,30.02857143
32.75,5248,601,1008,143,0,5869,29.15714286
33,5247,596,1012,145,0,5903,28.07142857
33.25,5246,596,1011,147,0,5913,27.54285714
33.5,5246,593,1013,148,0,5921,27.14285714
33.75,5245,593,1013,149,0,5949,26.27142857
34,5244,589,1018,149,0,5970,25.81428571
34.25,5243,587,1020,150,0,5984,25.38571429
34.5,5243,585,1021,151,0,6000,25.08571429
34.75,5242,580,1026,152,0,6017,24.72857143
35,5240,576,1032,152,0,6045,24.14285714
35.25,5239,572,1035,154,0,6062,23.61428571
35.5,5239,567,1039,155,0,6086,23.12857143
35.75,5237,565,1042,156,0,6077,23.05714286
36,5235,566,1042,157,0,6070,22.97142857
36.25,5233,568,1042,157,0,6066,22.68571429
36.5,5233,565,1045,157,0,6095,22.11428571
