time,s,e,i,r,mandate,complying,on_floor,away_percent,compliance_q1,compliance_q2,compliance_q3,compliance_q4,infectious_q1,infectious_q2,infectious_q3,infectious_q4
0,7515,125,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,7515,125,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,7515,124,61,0,0,0,1,0.01298701299,0,0,0,0,0,0,0,0
0.75,7515,122,63,0,0,0,3,0.03896103896,0,0,0,0,0,0,0,0
1,7515,120,65,0,0,1,6,0.07792207792,0,0,0,0,0,0,0,0
1.25,7515,118,67,0,0,1,6,0.07792207792,0,0,0,0,0,0,0,0
1.5,7515,116,69,0,0,3,7,0.09090909091,0,0,0,0,0,0,0,0
1.75,7515,115,70,0,0,5,7,0.09090909091,0,0,0,0,0,0,0,0
2,7515,115,70,0,0,5,8,0.1038961039,0,0,0,0,0,0,0,0
2.25,7515,114,71,0,0,6,10,0.1298701299,0,0,0,0,0,0,0,0
2.5,7515,114,71,0,0,6,11,0.1428571429,0,0,0,0,0,0,0,0
2.75,7515,113,72,0,0,7,13,0.1688311688,0,0,0,0,0,0,0,0
3,7515,112,72,1,0,10,21,0.2727272727,0,0,0,0.125,0,0,0,0
3.25,7515,109,75,1,0,10,34,0.4415584416,0,0,0,0.08333333333,0,0,0,0
3.5,7515,108,76,1,0,13,45,0.5844155844,0,0.07142857143,0,0.1538461538,0,0,0,0
3.75,7515,108,76,1,0,18,53,0.6883116883,0,0.0625,0,0.1428571429,0,0,0,0
4,7515,106,78,1,0,21,61,0.7922077922,0,0.05555555556,0,0.0625,0,0,0,0
4.25,7515,102,82,1,0,27,72,0.9350649351,0.05263157895,0.1052631579,0,0.04761904762,0,0,0,0
4.5,7515,102,82,1,0,30,87,1.12987013,0.04,0.08333333333,0,0.04347826087,0,0,0,0
4.75,7515,102,82,1,0,36,99,1.285714286,0.03448275862,0.08,0,0.07142857143,0,0,0,0
5,7515,101,83,1,0,44,98,1.272727273,0.03448275862,0.07692307692,0,0.07407407407,0,0,0,0
5.25,7515,101,83,1,0,48,116,1.506493506,0.03225806452,0.06666666667,0,0.08571428571,0,0,0,0
5.5,7515,101,83,1,0,55,132,1.714285714,0.08108108108,0.1176470588,0,0.05555555556,0,0,0,0
5.75,7515,99,85,1,0,66,143,1.857142857,0.06818181818,0.08571428571,0,0.05882352941,0,0,0,0
6,7515,98,86,1,0,73,170,2.207792208,0.03921568627,0.075,0.02325581395,0,0,0,0,0
6.25,7515,98,86,1,0,81,214,2.779220779,0.03571428571,0.03278688525,0.01960784314,0,0,0,0,0
6.5,7515,98,86,1,0,91,319,4.142857143,0.02272727273,0.02380952381,0,0.02739726027,0,0,0,0
6.75,7515,98,85,2,0,108,418,5.428571429,0.01834862385,0.05217391304,0,0.05050505051,0,0.008695652174,0,0.0202020202
7,7515,96,87,2,0,122,519,6.74025974,0.02158273381,0.06993006993,0.01724137931,0.04958677686,0,0.006993006993,0.008620689655,0.01652892562
7.25,7515,96,87,2,0,144,598,7.766233766,0.03726708075,0.0701754386,0.03125,0.03623188406,0,0.005847953216,0.015625,0.01449275362
7.5,7515,96,87,2,0,171,676,8.779220779,0.04444444444,0.07978723404,0.03448275862,0.03067484663,0,0.005319148936,0.02068965517,0.01226993865
7.75,7515,95,88,2,0,187,776,10.07792208,0.04390243902,0.08450704225,0.03529411765,0.04255319149,0.00487804878,0.01408450704,0.01764705882,0.01595744681
8,7515,92,91,2,0,231,900,11.68831169,0.05,0.08979591837,0.05445544554,0.06572769953,0.01666666667,0.02448979592,0.01485148515,0.01408450704
8.25,7515,92,91,2,0,296,1056,13.71428571,0.04682274247,0.1029411765,0.06956521739,0.07450980392,0.01337792642,0.02573529412,0.01304347826,0.01176470588
8.5,7515,90,93,2,0,352,1192,15.48051948,0.04281345566,0.08945686901,0.0752688172,0.08058608059,0.0122324159,0.02236421725,0.01075268817,0.01465201465
8.75,7515,90,93,2,0,411,1335,17.33766234,0.05737704918,0.0888252149,0.08253968254,0.08852459016,0.01092896175,0.0229226361,0.009523809524,0.01639344262
9,7515,90,93,2,0,476,1510,19.61038961,0.06601466993,0.08762886598,0.08888888889,0.08498583569,0.007334963325,0.0206185567,0.008333333333,0.01416430595
9.25,7515,89,94,2,0,551,1664,21.61038961,0.07382550336,0.09216589862,0.08,0.09660574413,0.006711409396,0.01843317972,0.005,0.01566579634
9.5,7515,88,95,2,0,625,1845,23.96103896,0.09166666667,0.1083333333,0.08185840708,0.09699769053,0.01041666667,0.01875,0.006637168142,0.01385681293
9.75,7515,88,95,2,0,706,1983,25.75324675,0.1013384321,0.1170634921,0.101010101,0.1062906725,0.01147227533,0.01785714286,0.006060606061,0.01301518438
10,7515,87,96,2,0,796,2112,27.42857143,0.1135531136,0.133580705,0.1138519924,0.108,0.01098901099,0.01484230056,0.009487666034,0.012
10.25,7514,87,97,2,0,889,2247,29.18181818,0.1348122867,0.1339130435,0.114638448,0.119460501,0.01365187713,0.01565217391,0.01234567901,0.009633911368
10.5,7514,87,97,2,0,978,2397,31.12987013,0.1401574803,0.1430948419,0.1290849673,0.1293260474,0.0125984252,0.0149750416,0.0114379085,0.009107468124
10.75,7514,87,97,2,0,1076,2523,32.76623377,0.1494768311,0.1505546751,0.1511811024,0.1360544218,0.01195814649,0.01584786054,0.0125984252,0.008503401361
